title_id,movie,drama,animation,2nd,num_extended,extended,novel_original,title,author,author_works,episode,complete,age,days_since_start,like_count,story_cleaned,hashtag,avg_like_count,avg_star,avg_participants,avg_comment_count,avg_best_comment_like
812851,0,0,0,0,0,0,0,망치하르방,상상어,7,110,1,12,665,77937,동안 마련 마법 마법사 학교 맞추다 성공 우리 학기 할아버지 형편,판타지 판타지개그 마법 크리처 중년 아카데미물 병맛 가벼운 개그 고인물 4차원 힘숨찐 인외존재 먼치킨,8327.6,9.95,8464.4,515,1464.3
772725,0,0,0,0,0,0,0,물어보는 사이,성은,5,131,1,15,1433,342570,건강 계약 물리 물어 달라 뱀파이어 부탁 이준 연애 연예인 의도 이채 제안 채다 톱스타,로맨스 아이돌 계약연애 직진남 인외존재 연예계 삼각관계 뱀파이어,21036.2,9.94,16043.8,654.6,5609.81
812645,0,0,0,0,0,0,0,망겜의 현금술사,무릇,2,33,0,0,679,73282,게임 삶다 구르다 다니다 녀석 떨어지다 마법 막다 만렙 망겜 매력 멸망 시키다 세계 아카데미 인도 토리 장비 제국 주다 최종 보스,판타지 사이다 러블리 로맨스코미디 2021 지상최대공모전 힐링 게임판타지 먼치킨,4764.2,9.92,3970.4,229.2,1467.53
764622,0,0,0,0,0,0,0,풋내기들,신여름,2,107,1,0,1572,132892,가득 놀다 담다 대학교 두근거리다 룸메이트 마음 만나다 많다 살의 새봄 생기다 서투르다 설레다 성격 셰어 하우스 스무 외모 우리 이상형 인근 입성 전혀 첫사랑 최애 풋풋 희다,로맨스 캠퍼스로맨스,11247.4,9.91,8599.6,933.8,5194.47
374970,0,0,0,0,0,0,0,얼룩말,자유,6,26,1,0,4992,32305,룸메이트 백수 성장,드라마,2252.33,9.95,12295,3091.67,744.24
749633,0,0,0,0,0,0,0,피와 나비,레민,3,84,1,15,1765,228494,괴물 나비 나타나다 맞서다 벌레 아이 정체 불명,판타지 아포칼립스 이능력배틀물,29060.6,9.95,18891.2,2252.2,10477.57
772734,0,0,0,0,0,0,0,최후의 금빛아이,"알깨,새몽",2,178,1,12,1447,80096,감당 나타나다 되살리다 쫓다 떠나다 막다 먹이 물리 믿다 불과 생일 세계 소녀 신들 심장 언니 여행 잃다 지배 진실 충격 험난,판타지 시리어스 신화 이능력 모험 이세계 인외존재 성장드라마 소년왕도물 복수극 다크판타지,7054.4,9.93,6992.8,496.2,1003.04
835170,0,0,0,0,0,0,0,차린 건 없지만,심모람,3,102,1,0,130,58944,가의 의욕 일지 차리다,일상 공감 힐링 음식&요리,2445.2,9.98,2824.8,121.8,462.34
749279,0,0,0,0,0,0,0,"대만에서, 너와 하루",수박양,3,8,1,0,1776,19399,대만 관광 여행 만족 떠나다 랜선 브랜드 시작 작가 컨텐츠,일상 무료,7158.2,9.96,9611.8,598,2898.77
423384,0,0,0,0,0,0,0,소울카르텔,"하람,지야",7,225,1,12,4867,330570,계약 모험 벌어지다 사후세계 소년 시작 악마 액션 판타지,판타지,5436.6,9.9,15364,2251.6,961.23
