movie,drama,animation,2nd,num_extended,extended,novel_original,title_id,title,author,author_works,episode,complete,age,days_since_start,like_count,story_cleaned,hashtag,avg_like_count,avg_star,avg_participants,avg_comment_count,avg_best_comment_like
0,2,0,2,1,1,0,67235,지금 우리 학교는,주동근,9,131,1,18,5840,379225,감금 사건 감염 미처 벌어지다 빠져나 우리 학교 평범,스릴러 아포칼립스 좀비 성인,7060,9.72,19843.4,7188.6,2048.93
0,0,0,0,0,0,0,819057,아이 하나,망순,4,43,1,18,525,60244,가장 나이 빛나다 상황 소희 시작 엄마 엄청나다 인생 임신 좋다 주인공,스릴러 고자극스릴러 자극적인 시리어스 절망적인 성장물 집착물,3738,9.86,4834.4,360,1289.37
0,0,0,0,0,0,1,801951,끈,"김수현,김서진",2,62,1,18,918,25896,검사 고향 괴이 나아 동료 주시 마치 막히다 만난 무난 밉다 발생 번번이 범인 불편 사건 사라지다 살아 살인 소꿉친구 수록 수사 시골 시달리다 시민 아들 언니 얽히다 영문 이르다 전체 정체 주영 증세 지민 파고 파헤치다 평생 현우 형사 환각,스릴러 소설 성인,440.4,9.56,671.6,43,43.15
0,0,0,0,0,0,0,801582,흙탕물,욥,1,55,1,18,928,16885,가족 갈구다 경찰 고민 괴물 다짐 도착 동료 두다 마주 범죄 따위 복수 불행 비밀 사랑 수상한 신경 쓰다 악당 안위 잃다 정의 사이 좌천 주민 지속 행위,스릴러 성인,260.6,9.73,379,32.8,42.18
0,0,0,0,0,0,0,829528,깔깔깔깔,해영채,4,34,1,18,256,13804,공포 귀신 드러나다 내다 몸부림 치다 무섭다 문명 벗어나다 상황 서서히 악몽 일상 주인공 현대 현실 말리,스릴러 고자극스릴러 자극적인 시리어스 절망적인 사회고발 범죄,1108.33,9.17,1660.33,138.33,302.15
0,0,0,0,0,0,0,670143,헬퍼 2 : 킬베로스,삭,3,418,1,18,3405,409821,대장 액션 역시 장광 라이브 펼치다,액션 액션판타지 자극적인 현대 신화 배틀 크리처 우정 이세계,35490,9.93,67493.8,6672.6,5858.45
0,0,0,0,0,0,0,679547,심연의 하늘 시즌4,"윤인완,김선희",16,27,1,18,3259,69879,대한민국 벌어지다 생존 잔혹 재난 축제 파괴,스릴러 슈퍼스트링 성인,12595.33,5.43,59534.67,8880.33,10257.11
0,0,0,0,0,0,0,783055,신림/남/22,"김꿀빨,박만사",35,59,1,18,1267,82772,가지 낯선 뉴스 느끼다 달래다 들어 모임 살해 수상 술자리 시작 돼다 외로움 외로워 익명 채팅 재회 처음,스릴러 성인,6162.4,5.99,6036.2,1401,1792.76
0,2,0,2,1,1,0,632341,남과 여,혀노,4,59,1,18,3940,467776,작가 솔로 데뷔작 솔직한 20대 흔한 사랑 이야기,드라마 성인,16088.8,9.97,39823.4,3770.6,11250.12
0,2,0,2,1,1,0,812124,유쾌한 왕따,"김숭늉,박만사",35,76,1,18,717,44979,오늘 열다섯번째 생일 왕따 전학생 만나다 흔들리다 시작,스릴러 성인웹툰 완결스릴러,3305.2,9.9,4246.6,215,504.2
